epoch_idx	precision@5	recall@5	ndcg@5	precision@10	recall@10	ndcg@10
10.0	0.2322147786617279	0.05130169913172722	0.24311664290947577	0.21006709337234497	0.09226462244987488	0.229788819483253
20.0	0.2845637798309326	0.062429480254650116	0.29771236201491363	0.2434004545211792	0.1058744415640831	0.2712817299859506
30.0	0.2935122847557068	0.06639144569635391	0.3083769501677635	0.25682327151298523	0.11214597523212433	0.2855484184183668
40.0	0.3015659749507904	0.06900139898061752	0.310713017392024	0.2534675598144531	0.11276184022426605	0.28187839633590067
50.0	0.2903803288936615	0.06704932451248169	0.3013312671411266	0.24720357358455658	0.10994385182857513	0.27506434679807534
60.0	0.28456375002861023	0.06641402095556259	0.29522378209151884	0.2454138696193695	0.11042312532663345	0.2719326370670139
70.0	0.27964210510253906	0.0658748596906662	0.29077649411377055	0.24586127698421478	0.11127471178770065	0.2706802270668174
80.0	0.27337807416915894	0.06394784152507782	0.2821561143247567	0.24161073565483093	0.11031997203826904	0.2650308206890331
90.0	0.2671141028404236	0.06354308128356934	0.2772291498258897	0.23780761659145355	0.10778441280126572	0.2608711696608687
100.0	0.26085013151168823	0.06164306774735451	0.27438887006799934	0.2346756011247635	0.10568763315677643	0.25858454605974535
110.0	0.2612975537776947	0.061838943511247635	0.272996900951846	0.23064878582954407	0.10361214727163315	0.2546264800538743
120.0	0.26085013151168823	0.06029350310564041	0.27215529713731607	0.23176735639572144	0.10516480356454849	0.2553469305011991
130.0	0.2568233013153076	0.058934226632118225	0.2672877068816966	0.22572705149650574	0.10223580151796341	0.249257209698618
140.0	0.2487695813179016	0.0581197626888752	0.25762976049200775	0.2261744886636734	0.1017221212387085	0.24612348461027142
